x0000,y0000
-0.1,-0.8832719538,
-0.09797979798,-0.958220807,
-0.09595959596,-1.041196068,
-0.09393939394,-1.133232176,
-0.09191919192,-1.235518053,
-0.0898989899,-1.349422913,
-0.08787878788,-1.476526687,
-0.08585858586,-1.618655904,
-0.08383838384,-1.777925996,
-0.08181818182,-1.956791097,
-0.0797979798,-2.158102561,
-0.07777777778,-2.38517748,
-0.07575757576,-2.641878529,
-0.07373737374,-2.932706315,
-0.07171717172,-3.2629051,
-0.0696969697,-3.638582029,
-0.06767676768,-4.066838649,
-0.06565656566,-4.555911239,
-0.06363636364,-5.115312669,
-0.06161616162,-5.755962575,
-0.0595959596,-6.490283451,
-0.05757575758,-7.332226657,
-0.05555555556,-8.297172759,
-0.05353535354,-9.401623712,
-0.05151515152,-10.66256968,
-0.04949494949,-12.0963726,
-0.04747474747,-13.7169692,
-0.04545454545,-15.53317471,
-0.04343434343,-17.5448975,
-0.04141414141,-19.73820457,
-0.03939393939,-22.07947627,
-0.03737373737,-24.50940957,
-0.03535353535,-26.93835875,
-0.03333333333,-29.24525468,
-0.03131313131,-31.28268654,
-0.02929292929,-32.8900407,
-0.02727272727,-33.9144146,
-0.02525252525,-34.23566835,
-0.02323232323,-33.78890602,
-0.02121212121,-32.57697305,
-0.01919191919,-30.66838847,
-0.01717171717,-28.18143615,
-0.01515151515,-25.26004483,
-0.01313131313,-22.04902357,
-0.01111111111,-18.67473958,
-0.009090909091,-15.23400029,
-0.007070707071,-11.79077184,
-0.005050505051,-8.378605519,
-0.00303030303,-5.006309734,
-0.00101010101,-1.664946949,
0.00101010101,1.664946949,
0.00303030303,5.006309734,
0.005050505051,8.378605519,
0.007070707071,11.79077184,
0.009090909091,15.23400029,
0.01111111111,18.67473958,
0.01313131313,22.04902357,
0.01515151515,25.26004483,
0.01717171717,28.18143615,
0.01919191919,30.66838847,
0.02121212121,32.57697305,
0.02323232323,33.78890602,
0.02525252525,34.23566835,
0.02727272727,33.9144146,
0.02929292929,32.8900407,
0.03131313131,31.28268654,
0.03333333333,29.24525468,
0.03535353535,26.93835875,
0.03737373737,24.50940957,
0.03939393939,22.07947627,
0.04141414141,19.73820457,
0.04343434343,17.5448975,
0.04545454545,15.53317471,
0.04747474747,13.7169692,
0.04949494949,12.0963726,
0.05151515152,10.66256968,
0.05353535354,9.401623712,
0.05555555556,8.297172759,
0.05757575758,7.332226657,
0.0595959596,6.490283451,
0.06161616162,5.755962575,
0.06363636364,5.115312669,
0.06565656566,4.555911239,
0.06767676768,4.066838649,
0.0696969697,3.638582029,
0.07171717172,3.2629051,
0.07373737374,2.932706315,
0.07575757576,2.641878529,
0.07777777778,2.38517748,
0.0797979798,2.158102561,
0.08181818182,1.956791097,
0.08383838384,1.777925996,
0.08585858586,1.618655904,
0.08787878788,1.476526687,
0.0898989899,1.349422913,
0.09191919192,1.235518053,
0.09393939394,1.133232176,
0.09595959596,1.041196068,
0.09797979798,0.958220807,
0.1,0.8832719538,
